НАЗВАНИЕ,ГОРОД,ID ТОЧКИ,АДРЕС,РЕЖИМ РАБОТЫ
Сбер логистика,Ирутск,Логистическая компания,"ул. Декабрьских Событий, 105А, Иркутск",Открыто до 18:30
ПЭК: Easyway,Ирутск,Пункт выдачи,"Россия, Иркутск, Партизанская улица, 28, маг. Westfalika",Открыто до 19:00
ПЭК: Easyway,Ирутск,Пункт выдачи,"Россия, Иркутск, Советская улица, 65, магазин ""Westfalika""",Открыто до 19:00
ПЭК: Easyway,Ирутск,Пункт выдачи,"Россия, Иркутск, улица Александра Невского, 80, ТРЦ Orange",Открыто до 19:00
Сберлогистика,Ирутск,Почтовый терминал,"ул. Нижняя Набережная, 10, Иркутск",Открыто до 19:00
Сбер логистика,Ирутск,Почтовый терминал,"ул. Лермонтова, 90/1, Иркутск",Круглосуточно
Сбер логистика,Ирутск,Почтовый терминал,"ул. Володарского, 23, Иркутск",Круглосуточно
Сберлогистика,Красноярск,Почтовый терминал,"ул. Сурикова, 12, Красноярск",Открыто до 00:00
Сберлогистика,Красноярск,Почтовый терминал,"просп. Мира, 56, Красноярск",Открыто до 00:00
СберЛогистика,Красноярск,Почтовый терминал,"ул. Алексеева, 49, Красноярск",Открыто до 00:00
Сберлогистика,Красноярск,Почтовый терминал,"ул. Ленина, 126, Красноярск",Открыто до 19:00
СберЛогистика,Красноярск,Почтовый терминал,"ул. 60 лет Октября, 96Г, Красноярск",Открыто до 18:00
Сберлогистика,Красноярск,Почтовый терминал,"ул. Карла Маркса, 125, Красноярск",Открыто до 00:00
Сберлогистика,Красноярск,Почтовый терминал,"ул. 60 лет Октября, 45, Красноярск",Открыто до 00:00
Сберлогистика,Красноярск,не указан,"ул. Карла Маркса, 112А/1А, Красноярск",Открыто до 18:00
Сберлогистика,Красноярск,не указан,"ул. Дмитрия Мартынова, 18, Красноярск",Открыто до 00:00
Сбер логистика,Новосибирск,Пункт выдачи,"Потанинская ул., 10А, Новосибирск",Круглосуточно
Сберлогистика,Новосибирск,Пункт выдачи,"ул. Кошурникова, 8/1, Новосибирск",Круглосуточно
Сбер логистика,Новосибирск,Пункт выдачи,"Красный просп., 17, Новосибирск",Круглосуточно
Сберлогистика,Новосибирск,Почтовый терминал,"ул. Петухова, 74, Новосибирск",Открыто до 19:30
Сберлогистика,Новосибирск,Почтовый терминал,"ул. Титова, 27, Новосибирск",Открыто до 19:30
Сбер логистика,Новосибирск,не указан,"ул. Фрунзе, 238, Новосибирск",Открыто до 22:00
Сберлогистика,Новосибирск,не указан,"ул. Дуси Ковальчук, 394, Новосибирск",Открыто до 19:00
Сбер логистика,Новосибирск,не указан,"Цветной пр., 2, Советский район, микрорайон Академгородок, Новосибирск, этаж 1",Открыто до 00:00
СберЛогистика,Новосибирск,не указан,"ул. Бориса Богаткова, 206А, Новосибирск",Открыто до 19:00
Сберлогистика,Новосибирск,не указан,"ул. Гоголя, 1, Новосибирск",Открыто до 19:30
Сбер Логистика, Краснодар,Логистическая компания,"Красная ул., 81, Центральный округ, микрорайон Центральный, Краснодар",Открыто до 18:00
ПЭК, Самара,Экспедирование грузов,"Россия, Самара, улица Земеца, 32, корп. 354",Открыто до 20:00
ПЭК: Easyway, корп. 354,Пункт выдачи,"Россия, Самара, Краснодонская улица, 49",Открыто до 19:00
ПЭК, Самара,Автомобильные грузоперевозки,"Россия, Самара, Советский район",Открыто до 18:00
Верные решения, 49,Таможенный брокер,"Россия, Краснодарский край, Новороссийск, набережная Адмирала Серебрякова, 15, офис 41",Открыто до 18:00
Сбер логистика, Самара,Почтовый терминал,"ул. Агибалова, 78, Самара",Круглосуточно
Сбер Логистика, Советский район,Почтовый терминал,"просп. Победы, 18, Оренбург",Круглосуточно
Сбер логистика, Краснодарский край,Почтовый терминал,"просп. Гагарина, 20, Нижний Новгород, этаж 1",Круглосуточно
Сбер логистика, офис 41,Почтовый терминал,"просп. Кирова, 314, Самара",Открыто до 18:30
Сбер логистика, Самара,Почтовый терминал,"ул. Строителей, 29, Самара",Круглосуточно
Сбер логистика, Оренбург,Почтовый терминал,"Комсомольский просп., 24, Челябинск, этаж 1",Круглосуточно
Сбер логистика, Нижний Новгород,Почтовый терминал,"ул. Адмирала Макарова, 45, Москва",Круглосуточно
Сбер логистика, Самара,Почтовый терминал,"ул. Мира, 45, Пермь",Круглосуточно
Сбер логистика, Самара,Почтовый терминал,"ул. Академика Губкина, 3, Казань",Открыто до 20:00
Сбер логистика, Челябинск,Почтовый терминал,"просп. Чекистов, 15/1, микрорайон Юбилейный, Краснодар",Круглосуточно
Сбер Логистика, Москва,Почтовый терминал,"ул. Маршала Ерёменко, 53, Волгоград",Круглосуточно
Сбер Логистика, Пермь,Почтовый терминал,"пр. Моторостроителей, 8, корп. 2, Ярославль",Круглосуточно
Сберлогистика, Казань,Почтовый терминал,"ул. Вавилова, 24, корп. 1, Москва",График работы не указан
Сбер логистика, Краснодар,Пункт выдачи,"ул. Юрия Смирнова, 2, Пермь",Открыто до 19:30
Сберлогистика, Волгоград,Почтовый терминал,"ул. Щербакова, 20, Екатеринбург",Круглосуточно
Сбер Логистика, Ярославль,Почтовый терминал,"ул. Родионова, 165, корп. 13, Нижний Новгород",Открыто до 19:00
Сберлогистика, Москва,Складские услуги,"ул. Евдокимова, 37, Ростов-на-Дону",Открыто до 18:00
Сбер логистика, Пермь,Пункт выдачи,"ул. Кирова, 5, Ижевск",Круглосуточно
Сберлогистика, Екатеринбург,Почтовый терминал,"Придорожная ул., 7А, д. Шарапово",График работы не указан
Сберлогистика, Нижний Новгород,Почтовый терминал,"Молодёжная ул., 21, Одинцово",Открыто до 20:00
Сбер Логистика, Ростов-на-Дону,Почтовый терминал,"Ленинградский просп., 95, Нижний Тагил",Открыто до 19:00
Сбер логистика, Ижевск,Почтовый терминал,"ул. Достоевского, 53/4, Казань",Круглосуточно
Сбер Логистика, д. Шарапово,Почтовый терминал,"Большая Покровская ул., 3, Нижний Новгород",Круглосуточно
СберЛогистика, Одинцово,Почтовый терминал,"ул. Кирова, 21А, Калуга",Открыто до 18:30
Сбер логистика, Нижний Тагил,Почтовый терминал,"ул. Стара Загора, 142, Самара",Круглосуточно
СберЛогистика, Казань,Почтовый терминал,"Комсомольская ул., 21, Ленинский район, Киров",Открыто до 19:00
Сберлогистика, Нижний Новгород,Почтовый терминал,"просп. имени 60-летия СССР, 2Б, Липецк",Круглосуточно
Сбер логистика, Калуга,Почтовый терминал,"Россия, Республика Татарстан, Казань, улица Карбышева",Открыто до 20:00
Сберлогистика, Самара,Почтовый терминал,"ул. Дмитриевского, 21, Москва",Круглосуточно
Сберлогистика, Киров,Почтовый терминал,"Яхтенная ул., 10, корп. 1, Санкт-Петербург",Круглосуточно
Сбер Логистика, Липецк,Почтовый терминал,"ул. Гагарина, 5Б, Ижевск",Круглосуточно
СберЛогистика, Республика Татарстан,Почтовый терминал,"ул. Кураева, 1А, Пенза",Круглосуточно
СберЛогистика, улица Карбышева,Почтовый терминал,"36А, Железнодорожный район, микрорайон Октябрьский городок, Рязань",Круглосуточно
Сбер логистика, Москва,Почтовый терминал,"ул. Кауля, 20, Тула",Круглосуточно
СберЛогистика, Санкт-Петербург,Почтовый терминал,"просп. Просвещения, 87, корп. 1, Санкт-Петербург",Открыто до 20:00
Сберлогистика, Ижевск,Почтовый терминал,"ул. Маршала Василевского, 17, Москва",Круглосуточно
СберЛогистика, Пенза,Почтовый терминал,"просп. Революции, 35, Воронеж",Круглосуточно
Сбер логистика, Рязань,Почтовый терминал,"просп. Ленина, 36, Владимир, этаж 1",Открыто до 19:00
Сберлогистика, Тула,Почтовый терминал,"просп. Бумажников, 15, Астрахань",Круглосуточно
Сбер логистика, Санкт-Петербург,Почтовый терминал,"ул. Фрунзе, 12, Тула",Круглосуточно
Сберлогистика, Москва,Почтовый терминал,"ул. 8 Марта, 206Б, Екатеринбург",Открыто до 18:30
Сбер логистика, Воронеж,Почтовый терминал,"ул. Скворцова-Степанова, 6/136, Тверь",Открыто до 19:00
Сбер логистика, Владимир,Почтовый терминал,"Университетский просп., 96, Волгоград",Круглосуточно
Сбер Логистика, Астрахань,Почтовый терминал,"ул. Красный Путь, 111, Омск",Круглосуточно
Сбер логистика, Тула,Почтовый терминал,"ул. Мориса Тореза, 1, Тюмень",Круглосуточно
Сбер Логистика, Екатеринбург,Почтовый терминал,"просп. Ветеранов, 78, Санкт-Петербург",Открыто до 00:00
СберЛогистика, Тверь,Почтовый терминал,"Неманский пр., 9, Москва",Круглосуточно
Сберлогистика, Волгоград,Почтовый терминал,"Дмитровское ш., 64, корп. 2, Москва",Круглосуточно
Сберлогистика, Омск,Почтовый терминал,"ул. Рихарда Зорге, 70/1, Приволжский район, Казань",Круглосуточно
Сберлогистика, Тюмень,Почтовый терминал,"Алтуфьевское ш., 8, Москва, этаж 1",Открыто до 23:00
Сберлогистика, Санкт-Петербург,Почтовый терминал,"ул. Плющиха, 42, Москва",Круглосуточно
Сбер логистика, Москва,Почтовый терминал,"Пушкинская ул., 157, Ижевск",Круглосуточно
Сбер логистика, Москва,Почтовый терминал,"просп. имени 50 лет Октября, 75А, Саратов",Открыто до 18:30
Сберлогистика, Казань,Почтовый терминал,"Берёзовская ул., 65, Нижний Новгород",График работы не указан
Сберлогистика, Москва,Почтовый терминал,"ул. Трубников, 54, Первоуральск",Открыто до 18:00
Сберлогистика, Москва,Пункт выдачи,"Кутузовский просп., 30, Москва",Круглосуточно
Сберлогистика, Ижевск,Пункт выдачи,"Электровозная ул., 7Б, Нижний Новгород",Открыто до 18:00
СберЛогистика, Саратов,Почтовый терминал,"Думская ул., 1-3, Санкт-Петербург",Круглосуточно
СберЛогистика, Нижний Новгород,Почтовый терминал,"ул. Вильямса, 14, Пермь",Круглосуточно
СберЛогистика, Первоуральск,Пункт выдачи,"ул. Савушкина, 128, корп. 1Б, Санкт-Петербург",Открыто до 01:00
Сбер Логистика, Москва,Почтовый терминал,"Московский просп., 153/59, Ярославль",Круглосуточно
Сбер Логистика, Нижний Новгород,Почтовый терминал,"ул. Генерала Штеменко, 23, Волгоград",Круглосуточно
Сбербанк логистика, Санкт-Петербург,Почтовый терминал,"29, 62-й комплекс, Набережные Челны",Круглосуточно
Сбер логистика, Пермь,Почтовый терминал,"ул. Фатыха Амирхана, 71, Казань",Круглосуточно
Сбер логистика, Санкт-Петербург,Почтовый терминал,"Щёлковское ш., вл75, Москва",График работы не указан
СберЛогистика, Ярославль,Почтовый терминал,"ул. Ивана Франко, 46, Пермь",Круглосуточно
СберЛогистика, Волгоград,Почтовый терминал,"ул. Ивана Франко, 46, Пермь",Круглосуточно
СберЛогистика, Набережные Челны,Почтовый терминал,"Вологодская ул., 52, Уфа",Круглосуточно
Сберлогистика, Казань,Почтовый терминал,"ул. Карла Либкнехта, 19, Ижевск",Круглосуточно
Сбер Логистика, Москва,Почтовый терминал,"ул. Карла Маркса, 7А, Канавинский район, жилой район Мещерское Озеро, Нижний Новгород",Открыто до 18:30
Сбер логистика, Пермь,Пункт выдачи,"ул. 30 лет Победы, 46, Сургут",Открыто до 22:00
Сберлогистика, Пермь,Почтовый терминал,"Родонитовая ул., 18Б, Чкаловский район, микрорайон Ботанический, Екатеринбург",Круглосуточно
Сберлогистика, Уфа,Почтовый терминал,"Большая Семёновская ул., 28, Москва",Круглосуточно
СберЛогистика, Ижевск,Почтовый терминал,"ул. Батова, 1, Волгоград",Круглосуточно
СберЛогистика, Нижний Новгород,Почтовый терминал,"просп. Энгельса, 21, Санкт-Петербург",Открыто до 01:00
Сбер логистика, Сургут,Почтовый терминал,"ул. Героев Танкограда, 118Д, Челябинск",Круглосуточно
Сбер логистика, Екатеринбург,Почтовый терминал,"Средний просп. Васильевского острова, 35, Санкт-Петербург",Открыто до 20:00
Сберлогистика, Москва,Почтовый терминал,"Марксистская ул., 9, Москва",Открыто до 19:30
Сберлогистика, Волгоград,Почтовый терминал,"ул. Маршала Рыбалко, 90, Пермь",Круглосуточно
Сбер логистика, Санкт-Петербург,Почтовый терминал,"ул. Доваторцев, 49Б, Ставрополь",Круглосуточно
Сбер Логистика, Челябинск,Почтовый терминал,"Рабоче-Крестьянская ул., 14, Волгоград",Круглосуточно
Сбер логистика, Санкт-Петербург,Почтовый терминал,"просп. имени В.И. Ленина, 47, Волгоград",Круглосуточно
СберЛогистика, Москва,Почтовый терминал,"ул. 50 лет НЛМК, 17А, Липецк",Открыто до 20:00
Сбер логистика, Пермь,Почтовый терминал,"ул. Михаила Морозова, 3, Ставрополь",Открыто до 18:00
Сбер логистика, Ставрополь,Почтовый терминал,"ул. Татарстан, 3/2, Вахитовский район, Казань",Круглосуточно
СберЛогистика, Волгоград,Почтовый терминал,"просп. Ленина, 116, Иваново",Круглосуточно
Сбер логистика, Волгоград,Почтовый терминал,"ул. Максима Горького, 12, посёлок Косая Гора, Тула",Круглосуточно
Сбер логистика, Липецк,Пункт выдачи,"Сытнинская ул., 12, Санкт-Петербург",Круглосуточно
Сберлогистика, Ставрополь,Почтовый терминал,"просп. Просвещения, 100/121, Санкт-Петербург",Открыто до 20:00
Сберлогистика, Казань,Почтовый терминал,"1-я Красноармейская ул., 21, Пермь",Круглосуточно
Сбер логистика, Иваново,Почтовый терминал,"Ленинградский просп., 81, Нижний Тагил",Открыто до 18:00
Сбер логистика, Тула,Почтовый терминал,"7-я Подлесная ул., 71, Ижевск",Открыто до 18:30
Сбер логистика, Санкт-Петербург,Почтовый терминал,"Красноармейский просп., 9, Тула",Открыто до 19:00
Сберлогистика, Санкт-Петербург,Почтовый терминал,"просп. Сизова, 30, корп. 1, Санкт-Петербург",Открыто до 19:30
СберЛогистика, Пермь,Почтовый терминал,"ул. Ленина, 152, Ижевск",Круглосуточно
Сбер логистика, Нижний Тагил,Почтовый терминал,"Салютная ул., 25, Челябинск",Круглосуточно
Сбер логистика, Ижевск,Почтовый терминал,"ул. Коминтерна, 31, Тула",Круглосуточно
Сберлогистика, Тула,Почтовый терминал,"Народная ул., 2, Санкт-Петербург",Открыто до 19:00
Сбер логистика, Санкт-Петербург,Почтовый терминал,"Наличная ул., 41/14, Санкт-Петербург",Круглосуточно
СберЛогистика, Ижевск,Почтовый терминал,"Россия, Рязань, Московский район, микрорайон Канищево, Интернациональная улица",Круглосуточно
СберЛогистика, Челябинск,Почтовый терминал,"Московский просп., 220, Санкт-Петербург",Круглосуточно
Сбер Логистика, Тула,Почтовый терминал,"ул. Мельникайте, 124, Тюмень",Открыто до 20:00
Сберлогистика, Санкт-Петербург,Почтовый терминал,"ул. Лермонтова, 259, Ставрополь",Открыто до 18:00
СберЛогистика, Санкт-Петербург,Почтовый терминал,"ул. Верхняя Масловка, 25, корп. 1, Москва",Круглосуточно
Сберлогистика, Рязань,Почтовый терминал,"Вятская ул., 41/1, Ростов-на-Дону",Открыто до 19:00
СберЛогистика, Интернациональная улица,Почтовый терминал,"ул. Шишкова, 65, Воронеж",Открыто до 18:30
СберЛогистика, Санкт-Петербург,Почтовый терминал,"Свердловский просп., 10, Челябинск",Открыто до 18:00
Сберлогистика, Тюмень,Почтовый терминал,"ул. Ивана Франко, 36, Москва",Круглосуточно
Сбер Логистика, Ставрополь,Почтовый терминал,"Ленинский просп., 71, корп. 1, Санкт-Петербург",Открыто до 00:00
Сбер логистика, Москва,Почтовый терминал,"ул. 70 лет Октября, 12, корп. 1, Омск",Круглосуточно
СберЛогистика, Ростов-на-Дону,Почтовый терминал,"Мозырьская ул., 9А, Пермь",Круглосуточно
Сбер Логистика, Воронеж,Почтовый терминал,"просп. Машиностроителей, 40, Ярославль",Открыто до 18:30
Сбер Логистика, Челябинск,Почтовый терминал,"ул. Ахметова, 300, Уфа",Открыто до 18:00
СберЛогистика, Москва,Почтовый терминал,"просп. Космонавтов, 63, корп. 1, Санкт-Петербург",Круглосуточно
Сбер логистика, Санкт-Петербург,Почтовый терминал,"бул. Шубина, 12А, Липецк",Круглосуточно
Сбер Логистика, Омск,Почтовый терминал,"ул. Труда, 4, микрорайон КСМ, Сочи",Открыто до 22:00
Сбер логистика, Пермь,Почтовый терминал,"Главная ул., 56, Советский район, посёлок Дербышки, Казань",Круглосуточно
СберЛогистика, Ярославль,Почтовый терминал,"ул. Юлиуса Фучика, 34, Казань",Круглосуточно
Сбер логистика, Уфа,Почтовый терминал,"ул. Максима Горького, 20Б, Тула",Круглосуточно
СберЛогистика, Санкт-Петербург,Почтовый терминал,"просп. Мира, 211, корп. 2, Москва, этаж 1",Открыто до 21:00
Сбер логистика, Липецк,Почтовый терминал,"Вокзальная ул., 28, Ставрополь",Открыто до 18:00
Сберлогистика, Сочи,Почтовый терминал,"Бескудниковский бул., 40, корп. 3, Москва",Открыто до 18:30
СберЛогистика, Казань,Почтовый терминал,"Ленинградский просп., 76, корп. 2, Москва",Открыто до 19:30
СберЛогистика, Казань,Почтовый терминал,"Комсомольская ул., 9, Никольское",Открыто до 18:00
СберЛогистика, Тула,Почтовый терминал,"ул. Гагарина, 1А, Отрадное",Открыто до 19:30
Сбер логистика, Москва,Почтовый терминал,"Каменноостровский просп., 32, Санкт-Петербург",Круглосуточно
СберЛогистик, Ставрополь,Почтовый терминал,"Бронная ул., 12, Московский район, район Приокский, Рязань",Круглосуточно
СберЛогистика, Москва,Почтовый терминал,"просп. Просвещения, 67, Санкт-Петербург",Круглосуточно
СберЛогистика, Москва,Экспедирование грузов,"ул. Кабельщиков, 85, Пермь",Круглосуточно
Сберлогистика, Никольское,Почтовый терминал,"Башиловская ул., 11, Москва",Круглосуточно
Сбер логистика, Отрадное,Почтовый терминал,"ул. Куйбышева, 126, Пермь",Круглосуточно
СберЛогистика, Санкт-Петербург,Почтовый терминал,"Кутузовский просп., 27, Москва",Открыто до 19:00
Сбер логистика, Рязань,Почтовый терминал,"Ложевая ул., 126, Тула",Открыто до 19:00
СберЛогистика, Санкт-Петербург,Почтовый терминал,"ул. 50 лет Октября, 3, Тюмень",Круглосуточно
СберЛогистика, Пермь,Почтовый терминал,"просп. Октября, 106, Уфа",Круглосуточно
СберЛогистика, Москва,Почтовый терминал,"ул. Сельских Строителей, 3Ж, Московский район, район Недостоево, Рязань",Круглосуточно
Сберлогистика, Пермь,Почтовый терминал,"ул. Рокоссовского, 33, Оренбург",Открыто до 20:30
Сберлогистика, Москва,Почтовый терминал,"Молодогвардейская ул., 25, корп. 1, Москва",Круглосуточно
Сбер Логистика, Тула,Почтовый терминал,"Московский тракт, 14А, Тюмень",Открыто до 18:00
СберЛогистика, Тюмень,Почтовый терминал,"Ленинградская ул., 1А, Липецк",Круглосуточно
Сбер Логистика, Уфа,Почтовый терминал,"Дунайский просп., 27, корп. 1Б, Санкт-Петербург",Открыто до 23:00
"СберЛогистика, служба курьерской доставки", Рязань,Почтовый терминал,"ул. Академика Парина, 6, Казань",Открыто до 18:30
Сберлогистика, Оренбург,Почтовый терминал,"Волгоградский пер., 2, Брянск",Круглосуточно
Сбер Логистика, Москва,Почтовый терминал,"ул. Карпинского, 37, Пенза",Круглосуточно
СберЛогистика, Тюмень,Почтовый терминал,"просп. Карла Маркса, 82А, Магнитогорск",Круглосуточно
СберЛогистика, Липецк,Пункт выдачи,"просп. Победы, 62, Казань",Круглосуточно
Сберлогистика, Санкт-Петербург,Почтовый терминал,"ул. Римского-Корсакова, 2, Москва",Круглосуточно
Сбер логистика, Казань,Почтовый терминал,"ул. Архитектора Щусева, 2, корп. 1, Москва",Круглосуточно
"Сбер Логистика, сеть постаматов", Брянск,Почтовый терминал,"Хорошёвское ш., 27, Москва",Открыто до 21:00
Сберлогистика, Пенза,Почтовый терминал,"ул. Серго Орджоникидзе, 37, корп. 2, Ярославль",Круглосуточно
Сбер логистика, Магнитогорск,Почтовый терминал,"ул. Солдатова, 34, Пермь",Круглосуточно
СберЛогистика, Казань,Почтовый терминал,"просп. Науки, 41, Санкт-Петербург, Сбербанк",Открыто до 01:00
Сберлогистика, Москва,Почтовый терминал,"Алагирская ул., 36/32, микрорайон Мясникован, Ростов-на-Дону",Круглосуточно
СберЛогистика, Москва,Почтовый терминал,"ул. Суворова, 171, Пенза",Круглосуточно
Сбер логистика, Москва,Экспедирование грузов,"просп. Карла Маркса, 16, Омск",Открыто до 19:00
Сбер Логистика, Ярославль,Почтовый терминал,"ул. Щорса, 24, Нижний Тагил",Перерыв до 14:00
СберЛогистика, Пермь,Почтовый терминал,"ул. Дзержинского, 33, Рязань",Круглосуточно
СберЛогистика, Санкт-Петербург,Почтовый терминал,"ул. Терновского, 160Б, Пенза",Круглосуточно
СберЛогистика, Ростов-на-Дону,Почтовый терминал,"ул. Панина, 43, корп. 1, Ярославль",Открыто до 18:30
СберЛогистика, Пенза,Почтовый терминал,"ул. Маркса, 46, Челябинск",Круглосуточно
Сбер логистика, Омск,Почтовый терминал,"просп. имени В.И. Ленина, 77, Волгоград",Круглосуточно
Сбер Логистика, Нижний Тагил,Почтовый терминал,"Московская ул., 22А, микрорайон Центральный, Сочи",Открыто до 17:30
СберЛогистика, Рязань,Почтовый терминал,"просп. Просвещения, 78, Санкт-Петербург",Круглосуточно
СберЛогистика, Пенза,Пункт выдачи,"Гражданский просп., 105, корп. 1, Санкт-Петербург",Открыто до 19:00
Сбер логистика, Ярославль,Почтовый терминал,"ул. Карпинского, 107, Пермь",Круглосуточно
СберЛогистика, Челябинск,Почтовый терминал,"Кутузовский просп., 9, корп. 1, Москва",Круглосуточно
Сберлогистика, Волгоград,Почтовый терминал,"Богатырский просп., 10, Санкт-Петербург",Открыто до 19:00
СберЛогистика, Сочи,Почтовый терминал,"ул. Володи Бачурина, 16, Липецк",Открыто до 20:00
СберЛогистика, Санкт-Петербург,Почтовый терминал,"бул. Тухвата Янаби, 22, Уфа",Открыто до 18:30
Сберлогистика, Санкт-Петербург,Пункт выдачи,"1-я Котельная ул., 2, Астрахань",Круглосуточно
Сбер Логистика, Пермь,Почтовый терминал,"ул. Масленникова, 62, Омск",Открыто до 00:00
Сбер логистика, Москва,Почтовый терминал,"просп. Карла Маркса, 52, Ставрополь",Открыто до 19:00
СберЛогистика, Санкт-Петербург,Почтовый терминал,"Новороссийская ул., 4/1, Омск",Открыто до 18:00
Сберлогистика, Липецк,Почтовый терминал,"ш. Революции, 16, Санкт-Петербург",Круглосуточно
СберЛогистика, Уфа,Пункт выдачи,"Ивановская ул., 65, Кохма",Круглосуточно
СберЛогистика, Астрахань,Почтовый терминал,"ул. Строителей, 7, Ярославль",Открыто до 18:00
СберЛогистика, Омск,Почтовый терминал,"Большая Дорогомиловская ул., 10, Москва",Круглосуточно
"Сбер Логистика, сеть постаматов", Ставрополь,Почтовый терминал,"Ленинский просп., 45, Москва",Круглосуточно
Сберлогистика, Омск,Почтовый терминал,"Комендантский просп., 30, корп. 1, Санкт-Петербург",Открыто до 00:00
Сбер логистика, Санкт-Петербург,Почтовый терминал,"Воскресенская ул., 99, Архангельск",Круглосуточно
Сбер Логистика 60038931, Кохма,Почтовый терминал,"Гражданский просп., 52, Белгород",Круглосуточно
СберЛогистика, Ярославль,Почтовый терминал,"бул. Есенина, 6А, Липецк",Открыто до 18:00
СберЛогистика, Москва,Почтовый терминал,"просп. Строителей, 40, Пенза",Круглосуточно
"СберЛогистика, служба курьерской доставки", Москва,Почтовый терминал,"Тушинская ул., 17, Москва",Открыто до 20:00
Сберлогистика, Санкт-Петербург,Почтовый терминал,"Красноказарменная ул., 23, Москва",Круглосуточно
Сбер Логистика, Архангельск,Пункт выдачи,"ул. Пермякова, 46, Тюмень",Круглосуточно
Сберлогистика, Белгород,Почтовый терминал,"Шоссейная ул., 1/2с2, Москва",Круглосуточно
"СберЛогистика, пункт выдачи", Липецк,Почтовый терминал,"ул. Героев-Разведчиков, 26, Краснодар",Открыто до 21:00
СберЛогистика, Пенза,Почтовый терминал,"12, микрорайон ТЭЦ-3, Иваново",Открыто до 17:45
Сбер Логистика, Москва,Почтовый терминал,"ул. Республики, 84, Сургут",Круглосуточно
Сбер Логистика, Москва,Почтовый терминал,"Университетская ул., 5, Сургут",Круглосуточно
СберЛогистика, Тюмень,Почтовый терминал,"площадь Карла Фаберже, 8Б, Санкт-Петербург",Круглосуточно
Сберлогистика, Москва,Почтовый терминал,"просп. Авиаконструкторов, 21, корп. 1, Санкт-Петербург",Круглосуточно
Сберлогистика, Краснодар,Почтовый терминал,"ул. Малышева, 103, корп. 1, Екатеринбург",Круглосуточно
Сбербанк логистика, Иваново,Почтовый терминал,"ул. 8 Марта, 61, Екатеринбург",Круглосуточно
Сбер Логистика, Сургут,Почтовый терминал,"Красноармейская ул., 24, микрорайон Заречный, Сочи",Открыто до 18:00
Сбер Логистика, Сургут,Почтовый терминал,"Газетная ул., 26, Нижний Тагил",Круглосуточно
Сберлогистика, Санкт-Петербург,Почтовый терминал,"ул. Доваторцев, 13, Ставрополь",Круглосуточно
Сберлогистика, Санкт-Петербург,Почтовый терминал,"ул. Земляной Вал, 42, стр. 1, Москва",Круглосуточно
Сберлогистика, Екатеринбург,Почтовый терминал,"Ленинский просп., 117, корп. 1, Санкт-Петербург",Открыто до 01:00
Сберлогистика, Екатеринбург,Почтовый терминал,"Мельковская ул., 2Б, Екатеринбург",Круглосуточно
Сберлогистика, Сочи,Банк,"бул. Гагарина, 23, Брянск",Круглосуточно
СберЛогистика, Нижний Тагил,Банк,"Замшина ул., 15, Санкт-Петербург",Открыто до 01:00
СберЛогистика, Ставрополь,Банк,"Красная ул., 145/1, Центральный округ, микрорайон Центральный, Краснодар",Круглосуточно
СберЛогистика, Москва,Банк,"Брянская ул., 8, Москва",Открыто до 19:30
СберЛогистика, Санкт-Петербург,Банк,"просп. Славы, 50/48, Санкт-Петербург",Открыто до 19:30
Сбер логистика, Брянск,не указан,"ул. Некрасова, 5Б/8, Белгород",Открыто до 22:00
СберЛогистика, Санкт-Петербург,не указан,"просп. Культуры, 22, корп. 1, Санкт-Петербург",Круглосуточно
Сберлогистика, Краснодар,не указан,"Красная ул., 105, Ижевск",Открыто до 18:30
Сбер логистика, Москва,не указан,"ул. Панфёрова, 12А, Волгоград",Открыто до 17:30
"Сбер Логистика, служба курьерской доставки", Санкт-Петербург,не указан,"Шипиловский пр., 39, корп. 1, Москва",Открыто до 19:30
Сберлогистика, Санкт-Петербург,не указан,"просп. Сельмаш, 16, Ростов-на-Дону",Открыто до 20:00
Сбер Логистика, Белгород,не указан,"Центральная ул., 7, посёлок Ивняки",Открыто до 17:30
Сбер логистика, Санкт-Петербург,не указан,"ул. Вагжанова, 19А, Тверь",Круглосуточно
Сбер почтомат, Ижевск,не указан,"Мичуринский просп., 26, Москва",Круглосуточно
СберЛогистика, Волгоград,не указан,"ул. Комиссарова, 6, Владимир",Круглосуточно
СберЛогистика, Москва,не указан,"просп. Просвещения, 31, Санкт-Петербург, Сбербанк",Круглосуточно
Сберлогистика, Ростов-на-Дону,не указан,"Земский пер., 11, корп. 1, Санкт-Петербург",Круглосуточно
Сберлогистика, посёлок Ивняки,не указан,"просп. Чайковского, 7, Тверь",Круглосуточно
СберЛогистика, Тверь,не указан,"Бассейная ул., 17, Санкт-Петербург",Открыто до 19:00
Сбербанк логистика, Москва,не указан,"Будапештская ул., 92В, Санкт-Петербург",Открыто до 21:00
СберЛогистика, Владимир,не указан,"Звёздная ул., 1, Санкт-Петербург",Открыто до 22:00
Постамат Сбер логистика, Санкт-Петербург,не указан,"ул. Маршала Ерёменко, 35, Волгоград",Круглосуточно
СберЛогистика, Санкт-Петербург,не указан,"просп. Калинина, 19, Тверь",Круглосуточно
Сбербанк Логистика, Тверь,не указан,"Красноармейская ул., 10, Приозерск",График работы не указан
"СберЛогистика, служба курьерской доставки", Санкт-Петербург,не указан,"просп. Маршала Жукова, 101, Волгоград",Открыто до 18:30
